group,value
0.1,2.11
0.1,2.56
0.1,4.33
0.1,3.89
0.1,3.22
0.1,4
0.1,3.78
0.1,3.56
0.1,5
0.1,4.11
0.1,3
0.1,3.11
0.1,3.78
0.1,3.89
0.1,3.67
0.1,3.11
0.1,4.22
0.1,4
0.1,3.67
0.1,3.78
0.1,4.22
0.1,3.67
0.1,4
0.1,4.22
0.1,3.11
0.1,3.11
0.1,3.11
0.1,3.89
0.1,4.33
0.1,4
0.1,4.11
0.1,3.44
0.1,4.44
0.1,3.56
0.1,3.22
0.1,4.22
0.1,4.11
0.1,4.22
0.1,3.56
0.1,2.22
0.1,3.44
0.1,3.78
0.1,3
0.1,2.67
0.1,4
0.1,4.56
0.1,3.89
0.1,3.67
0.1,4.11
0.1,4.11
0.1,3
0.1,3.67
0.1,5
0.1,4.22
0.1,4.44
0.1,4
0.1,3.56
0.1,4.11
0.1,3.44
0.1,3.89
0.1,2.56
0.1,4.11
0.1,2.89
0.1,3.33
0.1,4.33
0.1,3.67
0.1,2.33
0.1,3.44
0.1,3.44
0.1,3.44
0.1,3.44
0.1,4.11
0.1,3.67
0.1,3.89
0.1,4.56
0.1,4.11
0.1,3.67
0.1,3.56
0.1,2.11
0.1,3.56
0.1,4.22
0.1,4
0.1,4
0.1,4.56
0.1,2.67
0.1,4.11
0.1,3
0.1,4.33
0.1,3.22
0.1,3.11
0.1,3.11
0.1,4
0.1,2.56
0.1,2.89
0.1,4.89
0.1,4.44
0.1,3.56
0.1,2.78
0.1,3.56
0.1,3
0.1,3.33
0.1,4.11
0.1,3.11
0.1,4.22
0.1,2.89
0.1,3
0.1,3.78
0.1,3.44
0.1,4.11
0.1,3.78
0.1,4.89
0.1,3.89
0.1,3.22
0.1,4
0.1,4
0.1,2.89
0.1,4.33
0.1,4.56
0.1,3.11
0.1,4.44
0.1,4.44
0.1,3.89
0.1,4.22
0.1,3.11
0.1,4.22
0.1,3.78
0.1,4.78
0.1,3.78
0.1,3.44
0.1,3
0.1,3.56
0.1,4.89
0.1,3.89
0.1,4.33
0.1,3.78
0.1,3.89
0.1,4.33
0.1,3.44
0.1,2.22
0.1,3.22
0.1,4.33
0.1,3.22
0.1,3.78
0.1,4.11
0.1,3.22
0.1,4.33
0.1,3.56
0.1,3.89
0.1,3.89
0.1,1.67
0.1,3.56
0.1,4.44
0.1,3.67
0.1,3.56
0.1,4.11
0.1,3.67
0.1,2.89
0.1,3.44
0.1,3.89
0.1,4.33
0.1,1.78
0.1,4
0.1,4.11
0.1,2.89
0.1,4.11
0.1,4.22
0.1,3
0.1,3.89
0.1,4.22
0.1,3.89
0.1,3.78
0.1,4
0.1,3.89
0.1,3.22
0.1,2.67
0.1,3.78
0.1,4.33
0.1,1.56
0.1,2.44
0.1,3.44
0.1,2.78
0.1,3.89
0.1,4.22
0.1,3.44
0.1,3.89
0.1,2.78
0.1,3.11
0.1,3.56
0.1,3.78
0.1,3.78
0.1,4
0.1,3.22
0.1,3.22
0.1,4.33
0.1,3.11
0.1,3.11
0.1,3.78
0.1,2.89
0.1,3.78
0.1,4.67
0.1,4.11
0.1,4.22
0.1,2.78
0.1,4
0.1,4
0.1,3.56
0.1,2.33
0.1,3.11
0.1,2.89
0.1,3
0.1,3.78
0.1,2.44
0.1,3.22
0.1,3.44
0.1,3.78
0.1,1.89
0.1,4.11
0.1,4.11
0.1,4.67
0.1,4.11
0.1,2.78
0.1,3.44
0.1,4.56
0.1,4.67
0.1,2.11
0.1,3.89
0.1,3.11
0.1,3.78
0.1,3.33
0.1,4.44
0.1,4.33
0.1,3.56
0.1,4.22
0.1,3.44
0.1,3.56
0.1,2.44
0.1,4.33
0.1,3.11
0.1,2.56
0.1,3.89
0.1,3.33
0.1,3.44
0.1,3
0.1,4.22
0.1,3.67
0.1,3
0.1,3.78
0.1,4.33
0.1,2.22
0.1,3.11
0.1,3.78
0.1,4.56
0.1,3.67
0.1,4.67
0.1,4.44
0.1,3.89
0.2,3.67
0.2,5
0.2,4.44
0.2,3.11
0.2,5
0.2,4
0.2,4
0.2,4.33
0.2,5
0.2,4.22
0.2,4.44
0.2,4
0.2,4.11
0.2,5
0.2,5
0.2,4.11
0.2,5
0.2,4.33
0.2,4.33
0.2,4
0.2,5
0.2,4.67
0.2,4
0.2,4.78
0.2,4.22
0.2,4.67
0.2,3.89
0.2,4
0.2,4.56
0.2,3.89
0.2,3.89
0.2,3.78
0.2,3.33
0.2,3.78
0.2,4.89
0.2,4.67
0.2,5
0.2,5
0.2,3.78
0.2,3.78
0.2,4.44
0.2,4.33
0.2,4.56
0.2,4
0.2,4.89
0.2,3.89
0.2,3.56
0.2,4.44
0.2,4.22
0.2,4.89
0.2,4.33
0.2,3.56
0.2,4
0.2,4
0.2,4.67
0.2,4.56
0.2,4.89
0.2,3.78
0.2,3.33
0.2,4.89
0.2,3.67
0.2,4.78
0.2,3.33
0.2,5
0.2,4.78
0.2,3.89
0.2,4.22
0.2,4
0.2,4.22
0.2,3.22
0.2,3.89
0.2,4
0.2,4.11
0.2,3.22
0.2,3.67
0.2,4.67
0.2,3.56
0.2,4.11
0.2,5
0.2,5
0.2,4.67
0.2,5
0.2,4.56
0.2,5
0.2,4.78
0.2,4.56
0.2,5
0.2,4.78
0.2,4.44
0.2,4.33
0.2,4.56
0.2,4
0.2,5
0.2,3.33
0.2,4.89
0.2,4.67
0.2,5
0.2,4.56
0.2,3.78
0.2,4.33
0.2,4.78
0.2,4.11
0.2,5
0.2,4
0.2,4.56
0.2,3.78
0.2,4
0.2,4.22
0.2,3.22
0.2,4.56
0.2,5
0.2,4
0.2,4.56
0.2,5
0.2,4.78
0.2,5
0.2,4.22
0.2,4.78
0.2,3.67
0.2,4.44
0.2,4.33
0.2,4.67
0.2,4.22
0.2,3.11
0.2,3.22
0.2,4.33
0.2,5
0.2,4
0.2,5
0.2,5
0.2,4.33
0.2,4.78
0.2,4.33
0.2,5
0.2,4
0.2,3.56
0.2,4.33
0.2,4.11
0.2,4.56
0.2,4.22
0.2,5
0.2,3.78
0.2,5
0.2,4.67
0.2,3.89
0.2,4.89
0.2,4.78
0.2,4.11
0.2,3.89
0.2,4.89
0.2,4
0.2,4.33
0.2,3.56
0.2,4.44
0.2,4.33
0.2,4.56
0.2,3.44
0.2,4
0.2,4
0.2,4.89
0.2,5
0.2,4
0.2,4.22
0.2,4.33
0.2,4.56
0.2,4.56
0.2,4.11
0.2,4.11
0.2,4.33
0.2,3.89
0.2,4
0.2,3.67
0.2,4.89
0.2,4.33
0.2,4.67
0.2,4.33
0.2,4.22
0.2,5
0.2,4.44
0.2,3.78
0.2,3.78
0.2,4.44
0.2,5
0.2,3.33
0.2,4.11
0.2,4.44
0.2,4.56
0.2,4.22
0.2,4
0.2,4
0.2,4.78
0.2,3.78
0.2,4.67
0.2,5
0.2,4
0.2,3.67
0.2,5
0.2,4.22
0.2,4.89
0.2,4.33
0.2,4.67
0.2,4.89
0.2,4.22
0.2,4
0.2,4.67
0.2,5
0.2,4
0.2,3.78
0.2,4.67
0.2,3.89
0.2,4
0.2,4
0.2,5
0.2,4.11
0.2,4.22
0.2,3.67
0.2,4.78
0.2,4.33
0.2,5
0.2,4.56
0.2,4.78
0.2,4.33
0.2,4.11
0.2,3.78
0.2,5
0.2,5
0.2,4.67
0.2,4.44
0.2,5
0.2,4.67
0.2,4.67
0.2,4.33
0.2,5
0.2,4.56
0.2,5
0.2,3.89
0.2,4.56
0.2,5
0.2,4.56
0.2,4.56
0.2,4.44
0.2,4.56
0.2,3.56
0.2,4.78
0.2,3.78
0.2,4.78
0.2,5
0.2,4.44
0.2,3.33
0.2,5
0.2,4.67
0.2,4.67
0.2,4.44
0.2,4.89
0.2,4.44
0.2,4
